created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2025-02-23T03:51:45Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2025-02-23T03:51:26Z,2025-02-23T03:51:45Z,KFX
2024-11-10T05:16:53Z,www.amazon.com,Not Available,Kindle for iOS,B07NK59922,Before You Go BSE,Reach end of book,2024-11-10T05:16:32Z,2024-11-10T05:16:53Z,KFX
2025-07-24T10:16:30Z,www.amazon.com,Not Available,Kindle for iOS,B0F45JL25S,About This Book BSE,Open the book,2025-07-24T10:16:24Z,2025-07-24T10:16:30Z,KFX
2024-12-31T05:23:33Z,www.amazon.com,Not Available,Kindle for iOS,B0D9KJMVRB,About This Book BSE,Open the book,2024-12-31T05:23:21Z,2024-12-31T05:23:33Z,KFX
2025-09-23T00:55:09Z,www.amazon.com,Not Available,Kindle for iOS,B0DSRPZ7NY,About This Book BSE,Open the book,2025-09-23T00:55:07Z,2025-09-23T00:55:09Z,KFX
2025-01-08T22:51:32Z,www.amazon.com,Not Available,Kindle for iOS,B075CRQLKG,About This Book BSE,Open the book,2025-01-08T22:51:03Z,2025-01-08T22:51:32Z,KFX
2025-05-06T05:12:27Z,www.amazon.com,Not Available,Kindle for iOS,B00JAXSEFQ,Before You Go BSE,Reach end of book,2025-05-06T05:11:48Z,2025-05-06T05:12:27Z,KFX
2025-04-19T12:36:44Z,www.amazon.com,Not Available,Kindle for iOS,B0D9CC3C9Y,About This Book BSE,Open the book,2025-04-19T12:36:42Z,2025-04-19T12:36:44Z,KFX
2024-02-24T18:32:45Z,www.amazon.com,Not Available,Kindle for iOS,B08K62VYDJ,Before You Go BSE,Reach end of book,2024-02-24T18:32:43Z,2024-02-24T18:32:45Z,KFX
2024-12-07T19:35:11Z,www.amazon.com,Not Available,Kindle for iOS,B07G4H3665,About This Book BSE,Open the book,2024-12-07T19:31:45Z,2024-12-07T19:35:11Z,KFX
2024-05-08T01:38:50Z,www.amazon.com,Not Available,Kindle for iOS,B0BPVJ4RVR,Before You Go BSE,Reach end of book,2024-05-08T01:38:48Z,2024-05-08T01:38:50Z,KFX
2025-02-08T22:02:38Z,www.amazon.com,Not Available,Kindle for iOS,B0B4KR2X87,Before You Go BSE,Reach end of book,2025-02-08T22:02:33Z,2025-02-08T22:02:38Z,KFX
2024-10-08T03:51:39Z,www.amazon.com,Not Available,Kindle for iOS,B0BNFRLH91,Before You Go BSE,Reach end of book,2024-10-08T03:51:33Z,2024-10-08T03:51:39Z,KFX
2024-03-21T02:37:02Z,www.amazon.com,Not Available,Kindle for iOS,B00NEQRNVG,Before You Go BSE,Reach end of book,2024-03-21T02:36:35Z,2024-03-21T02:37:02Z,KFX
2025-02-13T13:34:31Z,www.amazon.com,Not Available,Kindle for iOS,B0D7NN1P97,Before You Go BSE,Reach end of book,2025-02-13T13:34:22Z,2025-02-13T13:34:31Z,KFX
2025-03-02T01:46:58Z,www.amazon.com,Not Available,Kindle for iOS,B0BYKSTDNB,About This Book BSE,Open the book,2025-03-02T01:46:56Z,2025-03-02T01:46:58Z,KFX
2025-03-28T22:12:25Z,www.amazon.com,Not Available,Kindle for iOS,B095G183J6,Before You Go BSE,Reach end of book,2025-03-28T22:11:26Z,2025-03-28T22:12:25Z,KFX
2025-05-10T19:28:30Z,www.amazon.com,Not Available,Kindle for iOS,B00VJSQKWY,About This Book BSE,Open the book,2025-05-10T19:28:18Z,2025-05-10T19:28:30Z,KFX
2025-08-18T18:03:24Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,About This Book BSE,Open the book,2025-08-18T18:03:22Z,2025-08-18T18:03:24Z,KFX
