ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B0C7QYS91W,"NOT AVAILABLE","NOT AVAILABLE",2024-03-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B08266V1T2,"NOT AVAILABLE","NOT AVAILABLE",2024-03-14T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07XQK3SGQ,"NOT AVAILABLE","NOT AVAILABLE",2024-03-16T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01BU2NFTO,"NOT AVAILABLE","NOT AVAILABLE",2024-03-16T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01M04PNMH,"NOT AVAILABLE","NOT AVAILABLE",2024-03-16T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B017S3J3X6,"NOT AVAILABLE","NOT AVAILABLE",2024-03-17T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0757CRTLY,"NOT AVAILABLE","NOT AVAILABLE",2024-03-17T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01N7KLCRR,"NOT AVAILABLE","NOT AVAILABLE",2024-03-18T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CLT4QRQL,"NOT AVAILABLE","NOT AVAILABLE",2024-03-18T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00846REIS,"NOT AVAILABLE","NOT AVAILABLE",2024-03-18T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B008673ZAQ,"NOT AVAILABLE","NOT AVAILABLE",2024-03-19T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B008UCJ7KO,"NOT AVAILABLE","NOT AVAILABLE",2024-03-20T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00NEQRNVG,"NOT AVAILABLE","NOT AVAILABLE",2024-03-21T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0183KJZE0,"NOT AVAILABLE","NOT AVAILABLE",2024-03-22T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0B1KVSRCL,"NOT AVAILABLE","NOT AVAILABLE",2024-03-22T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0183KJZE0,"NOT AVAILABLE","NOT AVAILABLE",2024-03-22T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0CHWQPB49,"NOT AVAILABLE","NOT AVAILABLE",2024-03-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B08Y758VM1,"NOT AVAILABLE","NOT AVAILABLE",2024-03-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07C1XR6BK,"NOT AVAILABLE","NOT AVAILABLE",2024-03-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00V3MY1IQ,"NOT AVAILABLE","NOT AVAILABLE",2024-03-23T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00V3MY1GS,"NOT AVAILABLE","NOT AVAILABLE",2024-03-25T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00V3MY186,"NOT AVAILABLE","NOT AVAILABLE",2024-03-25T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00W22ITCU,"NOT AVAILABLE","NOT AVAILABLE",2024-03-25T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07Y82JMF8,"NOT AVAILABLE","NOT AVAILABLE",2024-03-26T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412490,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0BJMZ2FQ3,"NOT AVAILABLE","NOT AVAILABLE",2024-03-26T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412490,Failed,"NOT AVAILABLE","NOT AVAILABLE"
