created_timestamp,preferred_marketplace,device_family,card_name,card_position
2024-02-28T01:17:39Z,US,Kindle for iOS,,4
2024-02-24T02:40:05Z,US,Kindle for iOS,,4
2024-03-07T05:09:21Z,US,Kindle for iOS,Follow the author,13
2024-02-28T01:17:39Z,US,Kindle for iOS,,2
2024-03-28T12:34:01Z,US,Kindle for iOS,Reading Insights,4
2024-03-26T00:58:26Z,US,Kindle for iOS,,2
2024-03-23T20:44:32Z,US,Kindle for iOS,Reading Insights,4
2024-04-11T14:07:11Z,US,Kindle for iOS,Reading Insights,4
2024-04-06T19:59:43Z,US,Kindle for iOS,Reading Insights,5
2024-03-05T15:02:53Z,US,Kindle for iOS,More like [book title],6
2024-03-11T07:14:11Z,US,Kindle for iOS,,9
2024-03-26T03:59:45Z,US,Kindle for iOS,Reading Insights,4
2024-04-05T11:19:30Z,US,Kindle for iOS,,2
2024-04-02T11:07:47Z,US,Kindle for iOS,,4
2024-04-10T23:10:32Z,US,Kindle for iOS,,2
2024-03-25T15:32:45Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T19:07:20Z,US,Kindle for iOS,,2
2024-03-03T07:24:11Z,US,Kindle for iOS,Reading Insights,4
2024-03-05T01:38:30Z,US,Kindle for iOS,Reading Insights,4
2024-03-28T21:24:18Z,US,Kindle for iOS,Reading Insights,4
2024-03-14T00:33:12Z,US,Kindle for iOS,More like your recent books,4
2024-03-29T02:52:39Z,US,Kindle for iOS,More like [book title],7
2024-02-28T16:21:00Z,US,Kindle for iOS,,2
2024-03-23T20:44:35Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T19:05:44Z,US,Kindle for iOS,Reading Insights,4
2024-03-03T07:31:09Z,US,Kindle for iOS,More like [book title],6
2024-02-27T06:27:24Z,US,Kindle for iOS,,2
2024-03-11T07:03:52Z,US,Kindle for iOS,,9
2024-04-04T17:28:17Z,US,Kindle for iOS,,4
2024-04-01T15:28:54Z,US,Kindle for iOS,,2
2024-03-16T02:39:52Z,US,Kindle for iOS,More like your recent books,4
2024-02-24T02:40:01Z,US,Kindle for iOS,,2
2024-03-07T04:55:32Z,US,Kindle for iOS,More like [book title],7
2024-03-26T04:28:16Z,US,Kindle for iOS,Reading Insights,4
2024-03-11T07:04:54Z,US,Kindle for iOS,,14
2024-04-04T18:23:38Z,US,Kindle for iOS,Reading Insights,5
2024-04-06T20:00:32Z,US,Kindle for iOS,,2
2024-02-24T02:40:58Z,US,Kindle for iOS,,5
2024-03-07T17:58:53Z,US,Kindle for iOS,,2
2024-03-07T13:47:13Z,US,Kindle for iOS,,2
2024-03-31T00:36:17Z,US,Kindle for iOS,,2
2024-03-03T07:31:10Z,US,Kindle for iOS,,9
2024-04-04T23:29:59Z,US,Kindle for iOS,,2
2024-03-29T13:58:08Z,US,Kindle for iOS,,14
2024-03-11T07:00:54Z,US,Kindle for iOS,,5
2024-03-10T18:10:38Z,US,Kindle for iOS,,2
2024-03-14T20:51:21Z,US,Kindle for iOS,More like [book title],8
2024-04-11T14:08:19Z,US,Kindle for iOS,Reading Insights,4
2024-03-16T14:41:35Z,US,Kindle for iOS,,4
2024-03-12T20:18:22Z,US,Kindle for iOS,Reading Insights,4
2024-04-03T21:31:38Z,US,Kindle for iOS,,16
2024-02-27T06:28:10Z,US,Kindle for iOS,Based on your reading,4
2024-03-14T20:51:43Z,US,Kindle for iOS,Upcoming releases for you,11
2024-04-06T22:45:44Z,US,Kindle for iOS,,2
2024-03-27T01:57:36Z,US,Kindle for iOS,Reading Insights,4
2024-04-15T22:44:53Z,US,Kindle for iOS,,2
2024-04-06T19:59:50Z,US,Kindle for iOS,,4
2024-04-14T00:34:10Z,US,Kindle for iOS,,2
2024-03-07T05:09:13Z,US,Kindle for iOS,,8
2024-02-29T02:30:46Z,US,Kindle for iOS,,4
2024-04-11T14:08:08Z,US,Kindle for iOS,Reading Insights,4
2024-04-10T03:13:14Z,US,Kindle for iOS,,2
2024-03-16T02:44:41Z,US,Kindle for iOS,Reading Insights,5
2024-02-24T18:54:54Z,US,Kindle for iOS,Follow the author,9
2024-03-10T01:26:35Z,US,Kindle for iOS,More like [book title],6
2024-03-26T13:57:31Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T13:58:19Z,US,Kindle for iOS,Reading Insights,4
2024-04-03T06:19:31Z,US,Kindle for iOS,,2
2024-03-10T01:26:57Z,US,Kindle for iOS,,2
2024-03-11T03:57:55Z,US,Kindle for iOS,Reading Insights,4
2024-03-30T00:41:38Z,US,Kindle for iOS,More like [book title],9
2024-03-30T00:11:24Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T06:15:46Z,US,Kindle for iOS,,2
2024-03-11T07:00:22Z,US,Kindle for iOS,,6
2024-03-25T12:33:44Z,US,Kindle for iOS,Reading Insights,4
2024-03-11T07:00:20Z,US,Kindle for iOS,,8
2024-02-29T23:06:19Z,US,Kindle for iOS,,4
2024-04-03T03:55:44Z,US,Kindle for iOS,,4
2024-04-02T11:08:00Z,US,Kindle for iOS,,2
2024-02-26T00:16:57Z,US,Kindle for iOS,Reading Insights,5
2024-03-18T21:41:51Z,US,Kindle for iOS,More like your recent books,4
2024-03-07T05:09:21Z,US,Kindle for iOS,Discover your next read,12
2024-03-05T15:03:05Z,US,Kindle for iOS,Based on your reading,11
2024-03-25T12:33:44Z,US,Kindle for iOS,,5
2024-03-06T12:22:00Z,US,Kindle for iOS,,2
2024-04-01T02:28:21Z,US,Kindle for iOS,,5
2024-03-02T17:45:17Z,US,Kindle for iOS,Reading Insights,4
2024-02-26T00:13:15Z,US,Kindle for iOS,,6
2024-04-15T04:07:39Z,US,Kindle for iOS,Reading Insights,4
2024-03-30T00:41:38Z,US,Kindle for iOS,More like your recent books,6
2024-03-05T15:02:56Z,US,Kindle for iOS,,9
2024-03-05T01:01:54Z,US,Kindle for iOS,Reading Insights,4
2024-03-05T15:02:40Z,US,Kindle for iOS,Reading Insights,4
2024-03-14T20:51:54Z,US,Kindle for iOS,,13
2024-03-17T03:54:42Z,US,Kindle for iOS,,2
2024-02-28T19:54:02Z,US,Kindle for iOS,,4
2024-03-04T01:29:17Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T23:30:07Z,US,Kindle for iOS,,4
2024-03-01T00:04:45Z,US,Kindle for iOS,,4
2024-03-29T02:55:01Z,US,Kindle for iOS,,13
2024-03-29T02:53:06Z,US,Kindle for iOS,More like your recent books,8
2024-03-11T07:02:52Z,US,Kindle for iOS,,2
2024-03-15T09:12:21Z,US,Kindle for iOS,More like your recent books,4
2024-02-29T15:22:14Z,US,Kindle for iOS,,2
2024-03-10T01:26:35Z,US,Kindle for iOS,More like [book title],5
2024-03-10T01:21:12Z,US,Kindle for iOS,,2
2024-03-05T15:04:03Z,US,Kindle for iOS,Discover your next read,15
2024-03-15T09:10:57Z,US,Kindle for iOS,More like your recent books,4
2024-04-12T17:31:49Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T02:42:00Z,US,Kindle for iOS,Reading Insights,4
2024-03-03T07:47:01Z,US,Kindle for iOS,,2
2024-03-11T06:54:01Z,US,Kindle for iOS,,9
2024-03-11T20:53:08Z,US,Kindle for iOS,Reading Insights,4
2024-03-18T04:00:19Z,US,Kindle for iOS,,2
2024-02-29T02:08:31Z,US,Kindle for iOS,,4
2024-03-07T04:50:48Z,US,Kindle for iOS,More like [book title],5
2024-03-07T22:12:51Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T23:30:00Z,US,Kindle for iOS,,4
2024-03-25T15:29:37Z,US,Kindle for iOS,Reading Insights,4
2024-04-02T11:07:40Z,US,Kindle for iOS,,16
2024-03-27T00:35:39Z,US,Kindle for iOS,Reading Insights,4
2024-04-09T00:15:52Z,US,Kindle for iOS,,2
2024-02-24T14:32:02Z,US,Kindle for iOS,,4
2024-04-10T23:10:32Z,US,Kindle for iOS,Reading Insights,4
2024-03-27T02:36:26Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T19:05:43Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T02:53:45Z,US,Kindle for iOS,,12
2024-03-11T07:14:13Z,US,Kindle for iOS,,5
2024-03-29T13:58:08Z,US,Kindle for iOS,,16
2024-03-26T21:55:15Z,US,Kindle for iOS,,2
2024-03-28T02:24:42Z,US,Kindle for iOS,Reading Insights,4
2024-03-25T06:57:46Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T19:06:27Z,US,Kindle for iOS,,6
2024-03-04T16:52:49Z,US,Kindle for iOS,,2
2024-03-15T09:05:35Z,US,Kindle for iOS,,2
2024-04-04T13:48:10Z,US,Kindle for iOS,,4
2024-02-26T00:13:21Z,US,Kindle for iOS,Reading Insights,5
2024-03-28T21:22:59Z,US,Kindle for iOS,,5
2024-03-10T01:26:31Z,US,Kindle for iOS,Reading Insights,4
2024-03-07T05:09:13Z,US,Kindle for iOS,More like [book title],6
2024-02-27T22:57:27Z,US,Kindle for iOS,,4
2024-03-11T06:53:11Z,US,Kindle for iOS,Reading Insights,4
2024-03-27T01:58:24Z,US,Kindle for iOS,Reading Insights,4
2024-03-03T07:31:09Z,US,Kindle for iOS,More like [book title],8
2024-02-25T06:33:23Z,US,Kindle for iOS,,4
2024-03-17T03:54:42Z,US,Kindle for iOS,More like your recent books,4
2024-03-11T07:00:54Z,US,Kindle for iOS,Recommended for you in Kindle Unlimited,4
2024-04-15T23:09:36Z,US,Kindle for iOS,,2
2024-04-04T05:11:36Z,US,Kindle for iOS,,4
2024-03-20T04:20:14Z,US,Kindle for iOS,Reading Insights,4
2024-03-29T02:55:02Z,US,Kindle for iOS,Recommended for you,15
2024-03-29T20:56:36Z,US,Kindle for iOS,,5
2024-03-16T02:39:57Z,US,Kindle for iOS,Reading Insights,5
2024-03-12T20:18:22Z,US,Kindle for iOS,,2
2024-02-25T16:31:35Z,US,Kindle for iOS,Based on your reading,4
2024-03-01T12:14:24Z,US,Kindle for iOS,,2
2024-03-11T07:04:37Z,US,Kindle for iOS,,10
