ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B071YF9J3C,audible.last_heard,2024-04-13T02:43:17Z,cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,AUDI,M4A_AAX_22,2024-04-10T21:48:46Z,2024-04-13T02:43:19Z,,Not Available,Not Available,Not Available,FALSE
B01MSWC05T,kindle.bookmark,2024-04-13T05:35:55Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-13T05:35:55Z,2024-04-13T05:46:02Z,,Not Available,Not Available,Not Available,TRUE
B01MSWC05T,kindle.last_read,2024-04-14T16:01:59Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-12T21:00:31Z,2024-04-14T16:02:02Z,,Not Available,Not Available,Not Available,FALSE
B01MSWC05T,kindle.most_recent_read,2024-04-14T16:01:59Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-12T21:00:31Z,2024-04-14T16:02:02Z,,Not Available,Not Available,Not Available,FALSE
B01MSWC05T,kindle.continuous_read,2024-04-14T16:01:59Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-12T21:00:31Z,2024-04-14T16:02:02Z,,Not Available,Not Available,Not Available,FALSE
B0778CV9Y4,kindle.last_read,2024-04-14T19:49:53Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-14T02:51:24Z,2024-04-14T19:50:01Z,,Not Available,Not Available,Not Available,FALSE
B0778CV9Y4,kindle.most_recent_read,2024-04-15T00:45:49Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-14T02:51:24Z,2024-04-15T00:45:50Z,,Not Available,Not Available,Not Available,FALSE
B0778CV9Y4,kindle.continuous_read,2024-04-15T00:45:49Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-14T02:51:24Z,2024-04-15T00:45:50Z,,Not Available,Not Available,Not Available,FALSE
B075HXST4P,kindle.last_read,2024-04-15T05:25:10Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-15T05:25:08Z,2024-04-15T05:25:14Z,,Not Available,Not Available,Not Available,FALSE
B075HXST4P,kindle.most_recent_read,2024-04-15T05:25:10Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-15T05:25:08Z,2024-04-15T05:25:14Z,,Not Available,Not Available,Not Available,FALSE
B075HXST4P,kindle.continuous_read,2024-04-15T05:25:10Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-15T05:25:08Z,2024-04-15T05:25:14Z,,Not Available,Not Available,Not Available,FALSE
B083QPK6X9,audible.clip,2024-04-15T13:01:46Z,cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,AUDI,M4A_AAX_44,2024-04-15T13:01:46Z,2024-04-15T13:01:46Z,,{c_version:12702421},Not Available,Not Available,FALSE
B083QPK6X9,audible.bookmark,2024-04-15T13:01:46Z,Not Available,AUDI,M4A_AAX_44,2024-04-15T13:01:46Z,2024-04-15T13:01:46Z,,Not Available,Not Available,Not Available,FALSE
B083QPK6X9,audible.last_heard,2024-04-15T16:51:45Z,cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,AUDI,M4A_AAX_44,2024-04-14T16:33:08Z,2024-04-15T16:53:23Z,,Not Available,Not Available,Not Available,FALSE
B0BRQW85G9,audible.last_heard,2024-04-15T18:38:03Z,cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,AUDI,M4A_EC3,2024-03-29T21:39:04Z,2024-04-15T18:40:49Z,,Not Available,Not Available,Not Available,FALSE
