Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-19T01:11:02Z,US,,Kindle for iOS,B008673ZAQ,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-01T15:09:19Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Speed Option Selected,Vertical Scroll View,0,Audible
2024-03-20T06:27:06Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,149,Audible
2024-03-19T05:36:02Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,1966,Audible
2024-03-21T12:55:38Z,US,,Kindle for iOS,,Out of App,Play,Paginated View,0,Audible
2024-03-22T18:47:44Z,US,,,,Out of App,Pause,Vertical Scroll View,658,Audible
2024-03-19T21:39:09Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,0,Audible
2024-03-26T12:11:36Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-26T04:28:44Z,US,,Kindle for iOS,B0BJMZ2FQ3,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-27T03:36:48Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-19T12:40:25Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Full Player,Pause,Vertical Scroll View,0,Audible
2024-03-01T15:21:35Z,US,,Kindle for iOS,B0994RZ2L1,Inbook Mini Player,Pause,Vertical Scroll View,47,Audible
2024-03-27T13:12:35Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-25T16:00:28Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Pause,Vertical Scroll View,1832,Audible
2024-03-19T05:43:55Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-27T13:14:55Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Pause,Vertical Scroll View,167,Audible
2024-03-19T01:17:44Z,US,,Kindle for iOS,B008673ZAQ,Inbook Full Player,Time Option Selected,Vertical Scroll View,0,Audible
2024-03-21T11:16:39Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Pause,Vertical Scroll View,10,Audible
2024-03-19T11:00:14Z,US,,Kindle for iOS,B008UCJ7KO,Inbook Mini Player,Pause,Vertical Scroll View,2765,Audible
2024-03-22T16:33:29Z,US,,,,Out of App,Pause,Vertical Scroll View,658,Audible
2024-03-24T04:35:42Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
2024-03-27T11:15:39Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Tap to Download,Vertical Scroll View,0,Audible
2024-03-21T11:33:26Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T21:48:40Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-27T19:32:09Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Rewind 30 Seconds,Vertical Scroll View,0,Audible
