created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-07-18T23:50:51Z,www.amazon.com,,Kindle for iOS,B0BT9W3ZS2,Dismiss,1,false
2025-09-19T22:47:44Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,4,false
2025-08-29T20:16:17Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Remove highlight,40,false
2025-09-19T00:04:27Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,41,false
2025-09-01T17:46:39Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Remove highlight,29,false
2025-10-03T20:08:23Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Remove highlight,8,false
2025-09-06T16:05:38Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,17,false
2025-07-22T01:09:36Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Dismiss,25,false
2025-07-18T00:59:43Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Dismiss,1,false
2025-09-25T22:04:02Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Dismiss,1,false
2025-07-20T02:03:38Z,www.amazon.com,,Kindle for iOS,B0C4GRKJTF,Open selection highlight menu,29,false
2025-09-26T16:22:27Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Dismiss,1,false
2025-09-22T03:21:58Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Dismiss,1,false
2025-09-26T13:28:21Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Dismiss,1,false
2025-08-26T17:02:59Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Dismiss,1,false
2025-07-17T11:17:55Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,8,false
2025-07-23T03:12:33Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Remove highlight,23,false
2025-09-20T15:29:54Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,21,false
2025-08-20T21:43:14Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Dismiss,35,false
2025-07-23T02:53:05Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Open selection highlight menu,18,false
2025-08-26T16:38:16Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Open selection highlight menu,1,false
2025-09-18T23:41:23Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,8,false
2025-09-21T19:20:10Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Dismiss,131,false
2025-08-18T00:31:25Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Open selection highlight menu,8,false
2025-09-11T12:14:51Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,3,false
2025-09-09T04:56:25Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Remove highlight,48,false
2025-09-29T02:01:50Z,www.amazon.com,,Kindle for iOS,B09QD52KWF,Dismiss,25,false
2025-09-23T13:54:50Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Dismiss,1,false
2025-09-10T11:35:53Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,3,false
2025-07-17T13:03:38Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Dismiss,49,false
2025-09-23T14:37:04Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Remove highlight,27,false
2025-08-23T23:48:31Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Dismiss,14,false
2025-08-28T13:49:23Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K,Dismiss,30,false
2025-09-13T21:21:20Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Remove highlight,29,false
2025-09-05T03:07:52Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,8,false
2025-08-29T18:21:33Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Dismiss,1,false
2025-09-10T00:29:55Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Dismiss,10,false
2025-10-01T00:32:44Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Remove highlight,16,false
2025-10-01T13:01:31Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Open selection highlight menu,1,false
2025-07-22T13:03:54Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Open selection highlight menu,1,false
2025-09-16T00:29:01Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Remove highlight,15,false
2025-07-20T13:33:28Z,www.amazon.com,,Kindle for iOS,B0C4GRKJTF,Open selection highlight menu,34,false
2025-09-20T14:59:29Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Display Lookup Cards,2,false
2025-09-02T22:31:56Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Remove highlight,29,false
2025-07-17T13:03:38Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,49,false
2025-09-30T01:01:43Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Open selection highlight menu,24,false
2025-09-20T19:06:29Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Remove highlight,17,false
2025-07-17T04:23:29Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Open selection highlight menu,23,false
2025-09-22T10:19:27Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Dismiss,1,false
2025-07-17T01:47:11Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Open selection highlight menu,6,false
2025-08-21T20:35:59Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Open selection highlight menu,1,false
2025-07-17T17:38:04Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,1,false
2025-09-20T01:33:43Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,3,false
2025-09-09T20:27:54Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Dismiss,5,false
2025-07-20T11:52:35Z,www.amazon.com,,Kindle for iOS,B0C4GRKJTF,Dismiss,1,false
2025-08-31T22:47:06Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Open selection highlight menu,1,false
2025-08-26T11:17:05Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Open selection highlight menu,1,false
2025-09-06T01:53:03Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,10,false
2025-08-30T13:46:09Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Open selection highlight menu,1,false
2025-07-17T01:47:07Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Open selection highlight menu,6,false
2025-09-16T13:32:38Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,28,false
2025-08-27T21:20:28Z,www.amazon.com,,Kindle for iOS,B0DC66QD8K,Open selection highlight menu,1,false
2025-09-16T01:18:02Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,1,false
2025-09-28T14:33:01Z,www.amazon.com,,Kindle for iOS,B09DLCLRK4,Dismiss,1,false
2025-08-16T05:11:37Z,www.amazon.com,,Kindle for iOS,B0D7F96JNZ,Open selection highlight menu,1,false
2025-09-23T20:41:22Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Dismiss,35,false
2025-09-21T23:50:33Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,1,false
2025-09-14T17:48:59Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62,Dismiss,1,false
2025-08-24T22:52:41Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Dismiss,1,false
2025-08-26T12:38:28Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Dismiss,25,false
2025-09-19T23:41:36Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Remove highlight,24,false
2025-09-10T21:20:59Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Remove highlight,30,false
2025-09-30T14:32:24Z,www.amazon.com,,Kindle for iOS,B0BSG1XDTR,Dismiss,1,false
2025-09-09T05:21:16Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Dismiss,1,false
2025-07-18T19:55:00Z,www.amazon.com,,Kindle for iOS,B0BT9W3ZS2,Remove highlight,27,false
2025-09-16T12:14:20Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,28,false
2025-07-22T02:43:18Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Dismiss,36,false
2025-10-05T23:45:29Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Open selection highlight menu,31,false
2025-07-18T04:49:25Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Dismiss,35,false
2025-07-23T03:14:07Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Open selection highlight menu,21,false
