"Product Name","ASIN","Genre"
"Burn for You (Slow Burn Book 1)","B06XWR6BC3","Literature & Fiction"
"Mother Faker","B0CGXN3K5V","Romance"
"My Dark Romeo: An Enemies-to-Lovers Romance (Dark Prince Road)","B0BXQP63XL","Romance"
"My Dark Romeo: An Enemies-to-Lovers Romance (Dark Prince Road)","B0BXQP63XL","Literature & Fiction"
"The Fixer Upper: The TOP TEN BESTSELLING romantic comedy from Phoebe MacLeod","B0CMH968CY","Romance"
"The Fixer Upper: The TOP TEN BESTSELLING romantic comedy from Phoebe MacLeod","B0CMH968CY","Literature & Fiction"
"After (The After Series Book 1)","B00L01GJBM","Romance"
"After (The After Series Book 1)","B00L01GJBM","Literature & Fiction"
"The Kiss Thief: An Arranged Marriage Romance","B07MLR5WY6","Romance"
"Dirty Talk (Pushing Boundaries Book 1)","B078N6643J","Romance"
"Dirty Talk (Pushing Boundaries Book 1)","B078N6643J","Literature & Fiction"
"It Happened One Summer: A Spicy Rom-Com Featuring a Wild Child Socialite, a Small-Town Grumpy Fisherman, and the Undeniable Attraction Between Them (Bellinger Sisters Book 1)","B08L3NHJ88","Romance"
"It Happened One Summer: A Spicy Rom-Com Featuring a Wild Child Socialite, a Small-Town Grumpy Fisherman, and the Undeniable Attraction Between Them (Bellinger Sisters Book 1)","B08L3NHJ88","Literature & Fiction"
"First Flight, Final Fall: A College Soccer Romance (Kluvberg Book 1)","B0CWJ2GTF3","Romance"
"All The Wrong Plays (Kluvberg Book 2)","B0CNNV2G3J","Romance"
"Taming Mr. Walker: An Enemies to Lovers Office Romance (The London Mister Series Book 1)","B09NJG1KGK","Romance"
"Taming Mr. Walker: An Enemies to Lovers Office Romance (The London Mister Series Book 1)","B09NJG1KGK","Literature & Fiction"
"Resisting Mr. Kane: An Age Gap Office Romance (The London Mister Series Book 2)","B09X3DKLSZ","Romance"
"Resisting Mr. Kane: An Age Gap Office Romance (The London Mister Series Book 2)","B09X3DKLSZ","Literature & Fiction"
"Fighting Mr. Knight: A Billionaire Office Romance (The London Mister Series Book 3)","B0BBB7VQFM","Romance"
"Fighting Mr. Knight: A Billionaire Office Romance (The London Mister Series Book 3)","B0BBB7VQFM","Literature & Fiction"
"HAWKE","B0BKTXQPXR","Romance"
"HAWKE","B0BKTXQPXR","Literature & Fiction"
"King of Sloth (Kings of Sin, 4)","1728289750","Romance"
"King of Sloth (Kings of Sin, 4)","1728289750","Literature & Fiction"
"Hawke","B0CQPJ3N43","Romance"
"Hawke","B0CQPJ3N43","Literature & Fiction"
"Dude in Distress","B08X5QL461","Romance"
"Dude in Distress","B08X5QL461","Literature & Fiction"
"Lights Out: An Into Darkness Novel","B0D7WYQ5X3","Romance"
"Lights Out: An Into Darkness Novel","B0D7WYQ5X3","Literature & Fiction"
"Assistant to the Villain (Assistant and the Villain Book 1)","B0BYM2LJDX","Science Fiction & Fantasy"
"Prey Tell (Ravaged Castle)","B0BQ79WJLC","Romance"
"Prey Tell (Ravaged Castle)","B0BQ79WJLC","Literature & Fiction"
"Marry Lies (Ravaged Castle)","B0C5MX4PK7","Romance"
"Marry Lies (Ravaged Castle)","B0C5MX4PK7","Literature & Fiction"
"Ward Willing (Ravaged Castle)","B0CDTXRNWY","Romance"
"Ward Willing (Ravaged Castle)","B0CDTXRNWY","Literature & Fiction"
"Masked Sins (Ravaged Castle)","B0DGQMHV4C","Romance"
"Masked Sins (Ravaged Castle)","B0DGQMHV4C","Literature & Fiction"
"Truly Madly Deeply: A Grumpy x Sunshine Romance (Forbidden Love Book 1)","B0CV2Y8CQC","Romance"
"How My Neighbor Stole Christmas","B0CX82WQ5Q","Romance"
"How My Neighbor Stole Christmas","B0CX82WQ5Q","Literature & Fiction"
"The Striker (Gods of the Game Book 1)","B0CR19MXKV","Romance"
"The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series)","B00H45XC5O","Science Fiction & Fantasy"
"The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series)","B00H45XC5O","Teen & Young Adult"
"The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series)","B00H45XC5O","Romance"
"Lights Out: An Into Darkness Novel","B0D2GST88W","Romance"
"Lights Out: An Into Darkness Novel","B0D2GST88W","Literature & Fiction"
"Kingdom of Ash (Throne of Glass Book 7)","B079JYG6D4","Science Fiction & Fantasy"
