campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-03-30T01:04:49.610Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-15T00:56:01.748Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,3
2024-04-08T10:54:08.614Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-30T06:24:58.915Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-04-06T16:50:51.663Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-07T17:52:57.985Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00H57X864,1,0
2024-03-29T02:46:00.762Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,4,10
2024-03-30T01:05:05.426Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,1,2
2024-04-08T02:11:28.507Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,4,11
2024-04-07T03:08:02.135Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-02T10:58:38.134Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B0BHLBHG79,1,1
2024-04-08T14:16:34.499Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:46:48.477Z,US,US,Kindle E-reader,3924990005,Not Applicable,displayed,Not Available,1,1
2024-04-15T00:54:59.459Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-15T20:07:27.038Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,4
2024-03-30T21:48:48.184Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-02T01:26:16.746Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:57:35.899Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-31T13:11:52.197Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:54:50.165Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:46:49.042Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-07T17:52:57.955Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00H57X864,1,1
2024-04-11T03:24:56.541Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B01L7Q54NI,1,1
