"Product Name","ASIN","Author ID"
"The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)","B0CNSGXRN9","B09MDRSLJ9"
"Vengeful Gods (Port Macabre)","B0CPHZP6S9","B0BNK29BS9"
"Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)","B0C85RV9VG","B09MDRSLJ9"
"Wild Eyes","B0D98Q4F5C","B0913FH5MX"
"Flawless: A Small Town Enemies to Lovers Romance","B09VV2CR51","B0913FH5MX"
"Reckless","B0BTZQ7TGP","B0913FH5MX"
"Powerless: A Small Town Friends to Lovers Romance","B0BHV6ZHT1","B0913FH5MX"
"Heartless: A Small Town Single Dad Romance","B0B4KR2X87","B0913FH5MX"
"Hopeless","B0C7B3DFJZ","B0913FH5MX"
"Deep End","B0D3C17M1Z","B08ZYW66XW"
"Scythe & Sparrow: The Ruinous Love Trilogy","B0D7NN1P97","B08ZLBTJMH"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3","B0D7MYFB42","B08ZLBTJMH"
"Unstitch (Alchemy Book 5)","B0CKBX1G7X","B0BSNY8PB3"
"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)","B0C3B5MXTS","B0BSNY8PB3"
"Untether (Alchemy Book 4)","B0CFYJWMTR","B0BSNY8PB3"
"Unbind (Alchemy Book 6)","B0CTCQ6MM4","B0BSNY8PB3"
"Always Alchemy: The Ever After Book","B0CTCQDVJL","B0BSNY8PB3"
"Temptation (The Hunted Series Book 1)","B00VVG6LMI","B00TUORWMQ"
"Addiction (The Hunted Series Book 2)","B017T5CJWA","B00TUORWMQ"
"House of Flame and Shadow: Crescent City, Book 3","B0CGSGXB8Y","B0070291GK"
"House of Sky and Breath: Crescent City, Book 2","B09MZNTZ54","B0070291GK"
"House of Earth and Blood: Crescent City, Book 1","B082YHJS14","B0070291GK"
"Onyx Storm (The Empyrean Book 3)","B0CW1FKFB9","B00HYKBU1W"
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","B000APA4AG"
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","B000APEWPE"
"Unfurl: A Hot Age Gap Romance (Alchemy Book 1)","B0BSNRZSRF","B0BSNY8PB3"
"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)","B0BXXH97JF","B0BSNY8PB3"
"Play Along (Windy City Series Book 4)","B0CKH896T8","B09DWX54JM"
"Just for the Summer","B0CDWHN8FK","B07KX5X24Y"
"Swallow Your Pride: A Forbidden Age Gap Romance (The Carlson Brothers)","B0C3SNCRXM","B09DHZ1YW6"
"Mile High (Windy City Series Book 1)","B09X4PVC6F","B09DWX54JM"
"The Right Move (Windy City Series Book 2)","B0B2L6CBXQ","B09DWX54JM"
"Caught Up (Windy City Book 3) (Windy City Series)","B0CKRXNDCF","B09DWX54JM"
"Funny Story","B0CCNBRNRQ","B01BW7AX4W"
"Variation: A Novel","B0D1LJ5DG6","B00HYKBU1W"
"Variation: A Novel","B0CZ9VJV5F","B00HYKBU1W"
"Saving 6 (Boys of Tommen Book 3)","B0C453T7BV","B00IH4LJSI"
"Redeeming 6 (Boys of Tommen Book 4)","B0C451CF7Z","B00IH4LJSI"
"Highest Bidder","B0872K48RW","B00SNT0Z0U"
"Highest Bidder","B0872K48RW","B01G9J9JKW"
"Theirs for the Night: (A MMF Romance) (Twisted Hearts)","B07DJPWWZT","B0070EJJQA"
"Forever Theirs: (A MMF Romance) (Twisted Hearts Book 1)","B07DP7HT14","B0070EJJQA"
"Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)","B0CK55PS1P","B07ZYFMKGG"
"Butterfly: A dark college hockey romance (Tabb U Book 1)","B0D2PFVNXV","B09TPX2TFV"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","B00SNT0Z0U"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","B01G9J9JKW"
"Kingdom of Ash","B07J66Q8BM","B0070291GK"
"House of Sky and Breath (Crescent City)","B093WB84G1","B0070291GK"
