title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"Not Available","Not Available","2024-07-09T21:16:22Z","No","Not Available","2024-07-09T21:16:22Z","A Touch of Ruin","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1705234046","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-07-08T21:42:34Z","No","Not Available","2024-07-08T21:42:34Z","A Game of Fate","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1705276067","Not Available","Not Available","AYCL"
"2024-07-08T12:19:21Z","Not Available","2024-07-08T12:09:18Z","Yes","Not Available","2024-07-08T12:19:21Z","Hooked","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09K2MCS1P","Not Available","Not Available","PENDING"
"2024-07-08T12:18:36Z","Not Available","2024-07-08T12:08:35Z","Yes","Not Available","2024-07-08T12:18:36Z","A Touch of Darkness","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","170523402X","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-07-08T12:09:18Z","No","Not Available","2024-07-08T12:09:18Z","Hooked","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09K2MCS1P","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-07-08T12:08:35Z","No","Not Available","2024-07-08T12:08:35Z","A Touch of Darkness","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","170523402X","Not Available","Not Available","AYCL"
"2024-07-06T19:01:36Z","Not Available","2024-07-06T18:51:43Z","Yes","Not Available","2024-07-06T19:01:36Z","Leather & Lark","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0CQTGW5SS","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-07-06T18:51:41Z","No","Not Available","2024-07-06T18:51:41Z","Leather & Lark","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0CQTGW5SS","Not Available","Not Available","PURCHASE"
"2024-05-17T21:12:03Z","Not Available","2024-05-17T21:02:02Z","Yes","Not Available","2024-05-17T21:12:03Z","King of Sloth","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0D26ZKHPC","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-17T21:02:00Z","No","Not Available","2024-05-17T21:02:00Z","King of Sloth","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0D26ZKHPC","Not Available","Not Available","PURCHASE"
"2024-05-17T12:02:59Z","Not Available","2024-05-17T11:52:58Z","Yes","Not Available","2024-05-17T12:02:59Z","King of Greed","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CM6QNNBX","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-17T11:52:57Z","No","Not Available","2024-05-17T11:52:57Z","King of Greed","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CM6QNNBX","Not Available","Not Available","PURCHASE"
"2024-05-16T03:01:34Z","Not Available","2024-05-16T02:51:41Z","Yes","Not Available","2024-05-16T03:01:34Z","King of Pride","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0C7CZ4LJW","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-16T02:51:42Z","No","Not Available","2024-05-16T02:51:42Z","King of Pride","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0C7CZ4LJW","Not Available","Not Available","PURCHASE"
"2024-05-14T21:49:20Z","Not Available","2024-05-14T21:39:26Z","Yes","Not Available","2024-05-14T21:49:20Z","King of Wrath","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BZQJT6YM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-14T21:39:26Z","No","Not Available","2024-05-14T21:39:26Z","King of Wrath","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0BZQJT6YM","Not Available","Not Available","PURCHASE"
"Not Available","Not Available","2024-05-05T19:30:13Z","No","Not Available","2024-05-05T19:30:13Z","The Idea of You","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07C8M8V7M","Not Available","Not Available","AYCL"
"2024-05-03T03:40:34Z","Not Available","2024-05-03T03:30:33Z","Yes","Not Available","2024-05-03T03:40:34Z","Hudson","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00N0XCXCM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-03T02:02:02Z","No","Not Available","2024-05-03T02:02:02Z","Hudson","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00N0XCXCM","Not Available","Not Available","PURCHASE"
"2024-05-02T11:47:29Z","Not Available","2024-05-02T11:37:27Z","Yes","Not Available","2024-05-02T11:47:29Z","Forever with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG5WZ76","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-02T11:37:27Z","No","Not Available","2024-05-02T11:37:27Z","Forever with You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG5WZ76","Not Available","Not Available","PURCHASE"
"2024-05-01T03:55:40Z","Not Available","2024-05-01T03:45:39Z","Yes","Not Available","2024-05-01T03:55:40Z","Found in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG4DA9Y","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-05-01T03:45:38Z","No","Not Available","2024-05-01T03:45:38Z","Found in You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00JG4DA9Y","Not Available","Not Available","PURCHASE"
"2024-04-30T11:50:21Z","Not Available","2024-04-30T11:40:37Z","Yes","Not Available","2024-04-30T11:50:21Z","Fixed on You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00J2ZLLKM","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-04-30T11:40:31Z","No","Not Available","2024-04-30T11:40:31Z","Fixed on You","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B00J2ZLLKM","Not Available","Not Available","PURCHASE"
"2024-04-26T20:35:20Z","Not Available","2024-04-26T20:11:05Z","Yes","Not Available","2024-04-26T20:35:20Z","The Bookworm Crush","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1541440420","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:14:25Z","No","Not Available","2024-04-26T20:14:25Z","Perfectly Imperfect","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B01B8L2C5U","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:12:34Z","No","Not Available","2024-04-26T20:12:34Z","33 Unplayed Voicemails","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0B9P1675T","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:12:03Z","No","Not Available","2024-04-26T20:12:03Z","A Royally Inconvenient Marriage","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1630158151","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:11:41Z","No","Not Available","2024-04-26T20:11:41Z","Heidi's Guide to Four Letter Words","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07SXD435V","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:11:31Z","No","Not Available","2024-04-26T20:11:31Z","A Murder to Remember","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CT5ZJ3YQ","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-04-26T20:06:00Z","No","Not Available","2024-04-26T20:06:00Z","Kismet","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09QD41MT2","Not Available","Not Available","AYCL"
