Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Search ID,Search Session ID,Search Result Selected Position,Search Result Section Position,Search Result Section Position Shown,Total Store Search Results Found,Search Outcome,Selected Search Result Value,Search Outcome Type,Search Action Sequence Number,Specialized Content ID
2024-04-15T00:24:33Z,US,Not Available,Kindle for iOS,Not Available,D25B566D-74C3-439F-AC5E-46AC342B84CB,ED32617B-4C0A-4310-9012-C0652FF64461,1,1,Store,80,Exit Search,null,Non ASIN,2,No Data
2024-03-18T03:12:59Z,US,Not Available,Kindle for iOS,Not Available,12638915-12AD-40C4-9A48-CA59D92D5959,C91DAEC3-492D-4EF7-A3E9-744A23761457,0,0,Store,194,Clear Search Results,null,Non ASIN,1,No Data
2024-04-09T18:53:20Z,US,Not Available,Kindle for iOS,Not Available,D18BA7AA-15DA-4E7E-9A9B-BD1C6BC554D5,1E9053D7-A0A8-497E-BAFE-8AD5B60F6DBF,1,1,Store,575,Product Detail Page Opened,B01BJST00M,ASIN,1,No Data
2024-03-23T02:37:57Z,US,Not Available,Kindle for iOS,Not Available,9614B555-009E-449E-9FA9-6EDE71AFFD2C,1B13AE8F-A027-4852-B31C-2A599A20BBA2,1,1,No Section Shown,2500,Search Again After No Action,null,Non ASIN,1,No Data
2024-03-07T04:48:57Z,US,Not Available,Kindle for iOS,Not Available,E959EE7B-6AAB-43E6-ABC9-329AB2C96344,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,4,2,Library|Store,351,Product Detail Page Opened,B0CM5L5T6D,ASIN,1,No Data
2024-03-04T09:32:44Z,US,Not Available,Kindle for iOS,Not Available,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,No Section Shown,372,Search Reworded,null,Non ASIN,1,No Data
2024-03-22T02:49:05Z,US,Not Available,Kindle for iOS,Not Available,97471CCA-9E6E-45CA-8B7C-25A745B40CF7,2546E99B-23A7-427F-AF58-FC2DC4888BCB,1,1,Store,222,Product Detail Page Opened,B00IX9UTLU,ASIN,1,No Data
2024-02-26T00:01:40Z,US,Not Available,Kindle for iOS,Not Available,99677DB7-1424-4418-BDCD-8D9625E61795,7E0693E8-F008-4CDA-A81B-4BC6CF946E2D,3,1,Store,751,Search Again After No Action,null,Non ASIN,2,No Data
2024-03-08T17:23:47Z,US,Not Available,Kindle for iOS,Not Available,CD97AB5E-9941-4993-929F-E68FE80C9BEC,2548C7E1-610B-4DF7-BC35-0C55B6537288,1,1,Store,276,Clear Search Results,null,Non ASIN,2,No Data
2024-02-26T00:02:51Z,US,Not Available,Kindle for iOS,Not Available,FC25841C-95D6-4910-97DE-CC2F341F50C3,49783150-F60F-430F-B7F7-98715FD9EBDC,4,1,Store,455,Product Detail Page Opened,B01MG7OMB2,ASIN,2,No Data
2024-03-04T00:15:05Z,US,Not Available,Kindle for iOS,Not Available,EB309CB5-CA58-4B6C-982C-71D74EFA15C2,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,No Section Shown,86,Search Again After No Action,null,Non ASIN,1,No Data
2024-04-09T23:34:27Z,US,Not Available,Kindle for iOS,Not Available,D2E0AD88-1FE4-4408-ACF9-58E63484BAD7,16E7F110-3BFB-4C76-A761-ABBCCEA233B3,0,0,No Section Shown,58,Search Reworded,null,Non ASIN,1,No Data
2024-03-27T02:47:44Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,2500,Product Detail Page Opened,B009UFDW9W,ASIN,2,No Data
